english,class,swedish,arabic,somali,persian,ukrainian,polish,spanish,bosnian,albanian
fun,"(noun, adjective, verb)",roligt,هزار,madadaalo,سرگرم کردن,веселий,zabawa,divertido,zabava,argëtim
house,"(noun, adjective, verb)",hus,منزل,guri,خانه,будинок,dom,casa,kuća,strehë
page,"(noun, verb)",sida,صفحة,bog,صفحه,сторінка,strona,página,stranica,faqe
term,"(noun, verb)",termin,شرط,waqti waxbarasho,مدت، اصطلاح,термін,termin,término,izraz,afat
test,"(noun, verb)",testa,امتحان,tijaabo,تست,тест,test,prueba,test,provë
answer,"(noun, verb)",svar,إجابة,jawaabid,پاسخ,відповідати,odpowiedź,respuesta,odgovor,përgjigje
sound,"(noun, verb, adjective)",ljud,صوت,cod leh,صدا,звук,dźwięk,sonido,zvuk,i shëndoshë
focus,"(noun, verb)",fokus,ركز,lo saar,تمرکز,фокус,centrum,enfocar,fokus,fokus
matter,"(noun, verb)",materia,موضوع,wax,موضوع,речовина,materiał,asunto,stvar,çështje
kind,"(noun, adjective)",snäll,عطوف,nooc,نوع,вид,Uprzejmy,amable,ljubazan,lloj
soil,"(noun, verb)",jord,تربة,ciid,خاک,грунт,gleba,suelo,tlo,lyej
board,"(noun, verb)",styrelse,سبورة,guddi,تخته,дошка,tablica,junta,odbor,bord
oil,"(noun, verb)",olja,زيت,saliidayn,روغن,нафта,olej,aceite,ulja,naftë
picture,"(noun, verb)",bild,صورة,sawir,تصویر,картина,zdjęcie,imagen,slika,Foto
access,"(noun, verb, adjective)",tillgång,وصول,awood isticmaal,دسترسی,доступ,dostęp,acceso,pristup,hyrje
garden,"(noun, verb)",trädgård,حديقة,beer,باغ,сад,ogród,jardín,vrt,kopsht
range,"(noun, verb)",räckvidd,يتراوح,seere daaq,دامنه,діапазон,zakres,rango,domet,varg
rate,"(noun, verb)",Betygsätta,معدل,sicir,نرخ,оцінювати,wskaźnik,tasa,ocijeniti,normë
reason,"(noun, verb)",anledning,سبب,sabab,دلیل,розум,powód,razón,razlog,arsye
future,"(noun, adjective)",framtida,مستقبل,mustaqbal ah,آینده,майбутнє,przyszły,futuro,budućnost,e ardhme
site,"(noun, verb)",webbplats,موقع,goob,سایت,ділянка,strona,sitio,mjesto,sit
demand,"(noun, verb)",efterfrågan,يطلب,weydiisasho,تقاضا,вимога,popyt,demanda,potražnja,kërkesë
exercise,"(noun, verb)",träning,يمارس,jir dhisid,ورزش,вправа,ćwiczenia,ejercicio,vježbati,stërvitje
image,"(noun, verb)",bild,صورة,muuqaal,تصویر,зображення,obraz,imagen,slika,imazh
case,"(noun, verb)",fall,قضية,sanduuq,مورد,випадок,sprawa,caso,slučaj,rast
cause,"(noun, verb)",orsak,سبب,sababid,علت,спричинити,przyczyna,causa,prouzrokovati,shkaktoj
coast,"(noun, verb)",kust,ساحل,xeeb,ساحل,узбережжя,wybrzeże,costa,obala,bregdet
action,"(noun, adjective)",handling,فعل,waxqabad,عمل,дія,działanie,acción,akcija,veprim
age,"(noun, verb)",ålder,عمر,da ',سن,вік,wiek,edad,Dob,moshë
bad,"(noun, adverb, adjective)",dålig,سيء,xun,بد,поганий,zły,malo,loš,i keq
boat,"(noun, verb)",båt,قارب,doon,قایق,човен,łódź,bote,čamac,varkë
record,"(noun, verb)",spela in,سِجِلّ,ku duubid,رکورد,запис,nagrywać,registro,zapisati,regjistroj
result,"(noun, verb)",resultat,نتيجة,natiijo,نتیجه,результат,wynik,resultado,rezultat,rezultoj
section,"(noun, verb)",sektion,قسم,laan,بخش,розділ,Sekcja,sección,odjeljak,pjesë
building,"(noun, verb)",byggnad,مبنى,dhismo,ساختمان,будівля,budynek,edificio,zgrada,ndërtim
mouse,"(noun, verb)",mus,الفأر,jiir,موش,миша,mysz,ratón,miša,mi
cash,"(noun, verb)",kontanter,نقدي,lacag siin,پول نقد,готівка,gotówka,dinero,gotovina,para në dorë
class,"(noun, verb, adjective)",klass,فصل,nooc,طبقه,клас,klasa,clase,klasa,klasë
nothing,"(noun, pronoun, adjective)",ingenting,لا شئ,waxna,هیچ چی,ніщо,Nic,nada,ništa,asgjë
period,"(noun, adjective)",period,فترة,caado,دوره زمانی,період,okres,período,razdoblje,periudhë
plan,"(noun, verb)",planen,يخطط,qorshe,طرح,планувати,plan,plan,plan,planifikoj
store,"(noun, verb)",Lagra,محل,kayd,فروشگاه,магазин,sklep,almacenar,trgovina,ruaj
tax,"(noun, verb)",beskatta,ضريبة,canshuur,مالیات,податковий,podatek,impuesto,porez,taksë
side,"(noun, verb)",sida,جانب,gees,سمت,бік,strona,lado,strah,anë
subject,"(noun, adjective, adverb)",ämne,موضوع,maaddo,موضوع,предмет,temat,sujeto,predmet,subjekt
space,"(noun, verb)",Plats,فضاء,hawo sare,فضا,простір,przestrzeń,espacio,prostor,hapësirë
rule,"(noun, verb)",regel,قاعدة,xukumid,قانون,правити,reguła,regla,pravilo,sundoj
stock,"(noun, adjective, verb)",stock,مخزون,badeeco,موجودی,запас,magazyn,existencias,zaliha,stendë
weather,"(noun, verb)",väder,طقس,cimilo,هوا,вигадка,pogoda,clima,vrijeme,mot
chance,"(noun, adjective, verb)",chans,فرصة,fursad,شانس. فرصت,шанс,szansa,oportunidad,šansa,rastësi
figure,"(noun, verb)",figur,شكل,nambar,شکل,фігура,postać,cifra,figura,figurë
man,"(noun, verb, interjection)",man,رجل,nin,مرد,людина,Człowiek,hombre,čovjek,njeri
model,"(noun, verb)",modell,نموذج,nooc,مدل,модель,Model,modelo,model,model
source,"(noun, verb)",källa,مصدر,asal,منبع,джерело,źródło,fuente,izvor,burim
beginning,"(noun, adjective, verb)",början,بداية,bilaabidda,شروع,початок,początek,comienzo,početak,fillim
earth,"(noun, verb)",jord,أرض,dhul,زمین,земля,ziemia,tierra,zemlja,tokë
program,"(noun, verb)",program,برنامج,barnaamij,برنامه,програма,program,programa,program,programoj
chicken,"(noun, adjective)",kyckling,فرخة,digaag yar,جوجه,курка,kurczak,pollo,piletina,pulë
design,"(noun, verb)",design,تصميم,naqshad,طرح,дизайн,projekt,diseño,dizajn,modelim
feature,"(noun, verb)",funktion,ميزة,muujinta,ویژگی,означати,funkcja,característica,značajka,tipar
head,"(noun, adjective, verb)",huvud,رأس,madax,سر,голова,głowa,cabeza,glava,kokë
material,"(noun, adjective)",material,مادة,wax,مادی,матеріал,materiał,material,materijal,material
purpose,"(noun, verb)",syfte,غاية,ujeeddo,هدف,мета,zamiar,objetivo,svrha,qëllim
question,"(noun, verb)",fråga,سؤال,su'aalid,پرسش,питання,pytanie,pregunta,pitanje,pyetje
rock,"(noun, verb)",sten,صخر,dhadhaab,سنگ,скеля,głaz,roca,rock,shkëmb
salt,"(noun, adjective, verb)",salt,ملح,cusbo,نمک,соляна,sól,sal,sol,kripë
act,"(noun, verb)",spela teater,يمثل,fal,عمل,діяти,działać,acto,djelovati,veproj
birth,"(noun, verb)",födelse,ولادة,dhalasho,زایمان,народження,narodziny,nacimiento,rođenje,lindje
car,"(noun, adjective)",bil,سيارة,gaari,ماشین,машина,samochód,auto,automobil,makinë
dog,"(noun, verb)",hund,كلب,Eey,سگ,пес,pies,perro,pas,këlysh
object,"(noun, verb)",objekt,هدف,walax,هدف - شی,об'єкт,obiekt,objeto,objekt,Objekt
scale,"(noun, verb)",skala,حجم,cabbir,اندازه,масштаб,skala,escala,skala,liman
sun,"(noun, verb)",Sol,شمس,qorrax,آفتاب,сонце,słońce,sol,sunce,diell
note,"(noun, verb)",notera,ملحوظة,qorid,توجه داشته باشید,Примітка,notatka,nota,Bilješka,shënim
profit,"(noun, verb)",vinst,ربح,faa'iido qaadasho,سود,прибуток,zysk,ganancia,profit,fitim
rent,"(noun, verb)",hyra,إيجار,ijaarid,اجاره,оренда,wynajem,alquilar,iznajmljivanje,marr me qira
speed,"(noun, verb)",fart,سرعة,xawaare,سرعت,швидкість,prędkość,velocidad,brzina,shpejtësi
style,"(noun, verb)",stil,أسلوب,hab,سبک,стиль,styl,estilo,stil,stil
war,"(noun, verb)",krig,حرب,dagaal,جنگ,війна,wojna,guerra,rat,luftë
bank,"(noun, verb)",Bank,بنك,bangi,بانک,банкнота,Bank,banco,banka,bankë
craft,"(noun, verb)",hantverk,حرفة,farsamada,مهارت,ремесло,rzemiosło,artesanía,zanat,zanat
half,"(noun, predeterminer, adverb)",halv,نصف,bar,نیم,половина,połowa,medio,pola,gjysmë
inside,"(noun, adjective, preposition)",inuti,داخل,gudaha,داخل,всередині,wewnątrz,adentro,iznutra,brenda
outside,"(noun, adjective, preposition)",utanför,الخارج,dibadda,خارج از,зовнішній,poza,afuera,vani,jashtë
standard,"(noun, adjective)",standard,معيار,caadi ah,استاندارد,стандартний,standard,estándar,standard,standard
bus,"(noun, verb)",buss,حافلة,bas,اتوبوس,автобус,autobus,autobús,autobus,autobus
exchange,"(noun, verb)",utbyta,تبادل,sarrifka,تبادل,обмін,giełda,intercambio,razmjena,këmbim
eye,"(noun, verb)",öga,عين,il,چشم,око,oko,ojo,oci,sy
fire,"(noun, verb)",brand,نار,dab,آتش,вогонь,ogień,fuego,vatra,zjarr
position,"(noun, verb)",placera,موضع,meel,موقعیت,позиція,pozycja,posición,pozicija,pozicion
pressure,"(noun, verb)",tryck,ضغط,cadaadis,فشار,тиск,ciśnienie,presión,pritisak,presion
stress,"(noun, verb)",påfrestning,ضغط,cadaadis,فشار,стрес,stres,estrés,stres,stresoj
advantage,"(noun, verb)",fördel,ميزة,faa'iido,مزیت - فایده - سود - منفعت,перевага,korzyść,ventaja,prednost,avantazh
benefit,"(noun, verb)",dra nytta,فائدة,faa'iido,سود,вигода,korzyść,beneficio,korist,përfitim
box,"(noun, verb)",låda,صندوق,sanduuq,جعبه,коробка,skrzynka,caja,kutija,kuti
frame,"(noun, verb)",ram,إطار,jir,قاب,рамка,rama,marco,okvir,kornizë
issue,"(noun, verb)",problem,مشكلة,arrin,موضوع,проблема,wydanie,asunto,problem,çështje
step,"(noun, verb)",steg,خطوة,tallaabo qaadid,گام,крок,krok,paso,korak,hap
cycle,"(noun, verb)",cykel,دورة,wareeg,چرخه,цикл,cykl,ciclo,ciklus,cikël
face,"(noun, verb)",ansikte,وجه,waji,صورت,обличчя,twarz,rostro,lice,ballë
item,"(noun, adverb)",Artikel,غرض,wax,قسمت,предмет,przedmiot,artículo,predmet,artikull
metal,"(noun, verb)",metall,معدن,bir,فلز,метал,metal,metal,metalni,metal
paint,"(noun, verb)",måla,طلاء,renjiyayn,رنگ,малювати,farba,pintar,slikati,pikturë
review,"(noun, verb)",recension,مراجعة,dib u hubin,مرور,огляд,recenzja,revisar,pregled,shqyrtim
room,"(noun, verb)",rum,غرفة,Qol,اتاق,кімната,pokój,habitación,soba,dhomë
screen,"(noun, verb)",skärm,شاشة,daaha,صفحه نمایش,екран,ekran,pantalla,zaslon,ekran
structure,"(noun, verb)",strukturera,بناء,qaab,ساختار,структура,Struktura,estructura,struktura,strukturë
view,"(noun, verb)",se,منظر,aragti,چشم انداز,переглянути,pogląd,vista,pogled,pamje
account,"(noun, verb)",konto,حساب,xisaabin lacag,حساب,рахунок,konto,cuenta,račun,llogari
ball,"(noun, verb)",boll,كرة,kubbad,توپ,куля,piłka,pelota,lopta,top
discipline,"(noun, verb)",disciplin,تأديب,dishibiliin,انضباط,дисципліна,dyscyplina,disciplina,disciplina,disipline
medium,"(noun, adjective)",medium,واسطة,heer dhexe ah,متوسط,середній,średni,medio,srednji,mesatare
share,"(noun, verb)",dela med sig,يشارك,qayb,اشتراک گذاری,розподіляти,udział,compartir,podijeliti,pjesë
balance,"(noun, verb)",balans,توازن,isku qiyaasidda,تعادل,балансувати,balansować,balance,ravnoteža,balancoj
bit,"(noun, verb)",bit,قليل,wax fardo af laga xiro,بیت,кут,fragment,poco,bit,bit
black,"(noun, verb, adjective)",svart,أسود,madoow,سیاه,чорний,czarny,negro,crn,i zi
bottom,"(noun, verb, adjective)",botten,قاع,hoose,پایین,дно,spód,abajo,dno,fund
choice,"(noun, adjective)",val,خيار,doorashada,انتخاب,вибір,wybór,elección,izbor,zgjedhje
gift,"(noun, verb)",gåva,هدية,hadiyad,هدیه,подарунок,prezent,regalo,poklon,dhuratë
impact,"(noun, verb)",påverkan,تأثير,raad ku reebid,تأثیر,вплив,uderzenie,impacto,uticaj,ndikim
machine,"(noun, verb)",maskin,آلة,mashiin,دستگاه,машина,maszyna,máquina,mašina,makinë
shape,"(noun, verb)",form,شكل,qaab,شکل,форма,kształt,forma,oblika,formoj
tool,"(noun, verb)",verktyg,أداة,qalab,ابزار,інструмент,narzędzie,herramienta,alat,mjet
wind,"(noun, verb)",vind,رياح,dabayl,باد,вітер,wiatr,viento,vjetar,erë
address,"(noun, verb)",adress,عنوان,cinwaan dirid,نشانی,адреса,adres,DIRECCIÓN,adresa,adresë
average,"(noun, verb, adjective)",genomsnitt,متوسط,dhexdhexaad ah,میانگین,середній,przeciętny,promedio,prosjek,mesatare
career,"(noun, verb, adjective)",karriär,حياة مهنية,xirfad,حرفه,кар'єра,kariera,carrera,karijera,karrierë
culture,"(noun, verb)",kultur,ثقافة,dhaqan fiican,فرهنگ,культура,kultura,cultura,kultura,kulturë
morning,"(noun, adverb)",morgon,صباح,subax,صبح,ранковий,Poranek,mañana,jutro,mëngjes
pot,"(noun, verb)",pott,وعاء,Dheri,گلدان,каструль,garnek,maceta,lonac,vazo
sign,"(noun, verb)",skylt,لافتة,saxiix,امضا کردن,підписувати,podpisać,firmar,znak,shenjë
table,"(noun, verb)",tabell,طاولة,miis,جدول,стіл,tabela,mesa,tablica,tryezë
task,"(noun, verb)",uppgift,مهمة,hawl,وظیفه,завзяти,zadanie,tarea,zadatak,detyrë
condition,"(noun, verb)",skick,حالة,shardi,وضعیت,хвороба,stan,condición,stanje,kusht
contact,"(noun, verb)",Kontakt,اتصال,xiriir,مخاطب,контакт,kontakt,contacto,kontakt,kontakt
credit,"(noun, verb)",kreditera,ائتمان,deyn,اعتبار,кредит,kredyt,crédito,kredit,vlerësim
egg,"(noun, verb)",ägg,بيضة,ukun,تخم مرغ,яйце,jajko,huevo,jaje,vezë
hope,"(noun, verb)",hoppas,يأمل,rayeyn,امید,надія,mieć nadzieję,esperanza,nada,shpresë
ice,"(noun, verb)",is,جليد,baraf,یخ,крижаний,lód,hielo,led,akull
network,"(noun, verb)",nätverk,شبكة,goob ka mid ah,شبکه,мережа,sieć,red,mreža,rrjet
north,"(noun, adjective, adverb)",norr,شمال,woqooyi,شمال,північ,północ,norte,sjever,veri
square,"(noun, adjective, adverb)",fyrkant,مربع,daar,مربع,Майдан,kwadrat,cuadrado,trg,katror
attempt,"(noun, verb)",försök,محاولة,tijaab,تلاش,спроба,próba,intentar,pokušaj,përpjekje
date,"(noun, verb)",datum,تاريخ,taariikh,تاریخ,дата,data,fecha,datum,takim
effect,"(noun, verb)",effekt,تأثير,saamayn,اثر,ефект,efekt,efecto,efekat,ndikim
link,"(noun, verb)",länk,وصلة,kalagooys,ارتباط دادن,зв'язок,połączyć,enlace,veza,lidhje
post,"(noun, verb, adverb)",posta,بريد,tiir,پست,допис,post,correo,pošta,postoj
star,"(noun, verb)",stjärna,نجمة,xiddig,ستاره,зірка,gwiazda,estrella,zvezda,yll
voice,"(noun, verb)",röst,صوت,cod,صدا,голос,głos,voz,glas,zë
capital,"(noun, adjective)",huvudstad,عاصمة,magaalo-madax,سرمایه، پایتخت,капітал,kapitał,capital,kapital,kapitali
challenge,"(noun, verb, adjective)",utmaning,تحدي,taxaaddi,چالش,оскаржувати,wyzwanie,desafío,izazov,sfidë
friend,"(noun, verb)",vän,صديق,saaxiibka,دوست,друг,przyjaciel,amigo,prijatelj,mik
self,"(noun, pronoun, adjective)",själv,الذات,naf,خود,я,samego siebie,ser,ja,vetë
shot,"(noun, adjective)",skott,طلقة,toogashada,شلیک شده,постріл,strzał,disparo,pucanj,e shtënë
brush,"(noun, verb)",borsta,فرشاة,burush,قلم مو,кисть,szczotka,cepillar,četkica,furçë
couple,"(noun, verb)",par,زوج,lammaane,زن و شوهر,пара,para,pareja,par,çift
debate,"(noun, verb)",debatt,مناظرة,Dood,مناظره,дискусія,debata,debate,debata,debatoj
exit,"(noun, verb)",utgång,مخرج,bixitaan,خروج,вихід,Wyjście,salida,Izlaz,dalje
front,"(noun, adjective, verb)",främre,أمام,ee hore,جلو,фронт,przód,frente,prednji,para
function,"(noun, verb)",fungera,وظيفة,shaqayn,تابع,функціонування,funkcjonować,función,funkcija,funksion
lack,"(noun, verb)",brist,نقص,la'aansho,عدم,бракувати,brak,falta,nedostatak,kam mungesë
living,"(noun, adjective)",levande,معيشة,nool,زندگي كردن,живий,żyjący,viviendo,živjeti,i gjallë
plant,"(noun, verb)",växt,نبات,warshad,گیاه,Рослина,zakład,planta,biljka,bimë
plastic,"(noun, adjective)",plast,بلاستيك,caag ah,پلاستیکی,пластиковий,Plastikowy,el plastico,plastičan,plastik
spot,"(noun, verb)",fläck,بقعة,gaashi,نقطه,місце,miejsce,lugar,tacka,njollë
summer,"(noun, verb)",sommar,صيف,xagaa,تابستان,літо,lato,verano,ljeto,verë
taste,"(noun, verb)",smak,ذوق,dhadhan,طعم,смак,smak,gusto,ukus,shije
theme,"(noun, verb)",tema,سمة,mawduuca hadal,موضوع,тема,temat,tema,tema,temë
track,"(noun, verb)",Spår,مسار,waddo tareen,مسیر,трек,ścieżka,pista,zapisnik,gjurmë
wing,"(noun, verb)",vinge,جناح,baal,بال,крила,skrzydło,ala,krilo,krah
brain,"(noun, verb)",hjärna,مخ,maskax,مغز,мозок,mózg,cerebro,mozak,tru
button,"(noun, verb)",knapp,زر,guluus,دکمه,кнопка,przycisk,botón,gumb,buton
click,"(noun, verb)",klick,انقر,gubid,کلیک,клацати,Kliknij,hacer clic,kliknuti,klikos
desire,"(noun, verb)",önskan,يرغب,rabitaan,میل,бажання,pragnienie,deseo,želja,dëshirë
foot,"(noun, verb)",fot,قدم,cag,پا,стоп,stopa,pie,stopalo,këmbësor
gas,"(noun, verb)",gas,غاز,gaas,گاز,газовий,gaz,gas,plin,gaz
influence,"(noun, verb)",inflytande,تأثير,raad ku yeellasho,نفوذ,вплив,wpływ,influencia,uticaj,ndikim
notice,"(noun, verb)",lägga märke till,يلاحظ,ogeysiis,اطلاع,ув'язнення,ogłoszenie,aviso,biljeska,njoftim
rain,"(noun, verb)",regn,مطر,roob,باران,дощ,deszcz,lluvia,kiša,shi
wall,"(noun, verb)",vägg,حائط,derbi,دیوار,стіна,ściana,muro,zid,murt
base,"(noun, verb, adjective)",bas,قاعدة,dhismo askareed,پایه,базовий,baza,base,baza,bazë
damage,"(noun, verb)",skada,ضرر,waxyeello,خسارت,пошкодження,szkoda,daño,šteta,dëmtim
distance,"(noun, verb)",distans,مسافة,fogaan,فاصله,відстань,dystans,distancia,razdaljina,largësi
feeling,"(noun, adjective)",känsla,إحساس,dareen,احساس,почуття,uczucie,sentimiento,osećaj,ndjenje
pair,"(noun, verb)",par,زوج,labo,جفت,пара,para,par,par,çift
savings,"(noun, adjective, preposition)",besparingar,مدخرات,kaydin,پس انداز,заощадження,oszczędności,ahorros,ušteda,kursime
staff,"(noun, verb)",personal,طاقم عمل,shaqaalo,کارکنان,персонал,personel,personal,osoblje,staf
sugar,"(noun, verb)",socker,سكر,sonkor,قند,цукор,cukier,azúcar,šećer,sheqer
target,"(noun, verb)",mål,هدف,bar shiish,هدف,цільовий,cel,objetivo,ciljati,objektiv
text,"(noun, verb)",text,نص,qoraal,متن,текст,tekst,texto,tekst,tekst
animal,"(noun, adjective)",djur,حيوان,xayawaan,حیوانی,тварина,zwierzę,animal,životinja,kafshë
author,"(noun, verb)",författare,مؤلف,qoraa,نویسنده,автор,autor,autor,autor,autor
budget,"(noun, adjective, verb)",budget,ميزانية,miisaaniyad,بودجه,бюджет,budżet,presupuesto,Budžet,buxhet
discount,"(noun, verb, adjective)",rabatt,تخفيض,sicir dhimis,تخفیف,знижка,rabat,descuento,popust,zbritje
file,"(noun, verb)",fil,ملف,fayl,فایل,файл,plik,archivo,file,dosje
ground,"(noun, verb, adjective)",jord,أرضي,dhul,زمین,земля,grunt,suelo,tlo,i tokës
lesson,"(noun, verb)",lektion,درس,cashar,درس,урок,lekcja,lección,lekcija,mësim
minute,"(noun, adjective, verb)",minut,دقيقة,daqiiqad,دقیقه,хвилина,minuta,minuto,minut,minutë
officer,"(noun, verb)",officer,ضابط,sarkaal,افسر,офіцер,oficer,oficial,oficir,oficer
phase,"(noun, verb)",fas,مرحلة,marxalad,فاز,фаза,faza,fase,faza,fazë
reference,"(noun, verb, adjective)",referens,مرجع,qoraal ka warbixineya,ارجاع,довідник,odniesienie,referencia,referenca,referim
register,"(noun, verb)",Registrera,يسجل,diiwaan ku qorid,ثبت نام,реєстрація,rejestr,registro,upisati,regjistroj
sky,"(noun, verb)",himmel,سماء,cir,آسمان,небо,niebo,cielo,nebo,qiell
stage,"(noun, verb)",skede,منصة,Marxalad,صحنه,сцена,scena,escenario,faza,fazë
stick,"(noun, verb)",pinne,يلزق,ul,چوب,палиця,stick,palo,palica,ngjit
title,"(noun, verb)",titel,عنوان,cinwaan,عنوان,титул,tytuł,título,naslov,titull
trouble,"(noun, verb)",problem,مشكلة,dhibaato,مشکل,клопот,kłopoty,problema,nevolja,shqetësoj
bowl,"(noun, verb)",skål,صَحن,koob-fiyoore,کاسه,чаша,miska,bol,zdjelica,vaskë
bridge,"(noun, verb)",bro,كوبري,buundo,پل,мост,most,puente,most,urë
campaign,"(noun, verb)",kampanj,حملة,olole,پویش,кампанія,kampania,campaña,kampanja,fushatë
character,"(noun, adjective, verb)",karaktär,شخصية,qof,شخصیت,характер,postać,personaje,lik,karakter
club,"(noun, verb)",klubb,النادي,urur,باشگاه,клуб,Klub,club,klub,klub
edge,"(noun, verb, idiom)",kant,حافة,gees,حاشیه، غیرمتمرکز,обрізати,krawędź,borde,rub,avantazh
evidence,"(noun, verb, idiom)",bevis,شهادة,daliil,شواهد و مدارک,доказ,dowód,evidencia,dokaz,dëshmi
fan,"(noun, verb, idiom)",fläkt,معجب,marawaxad,پنکه,фанат,wentylator,admirador,ventilator,tifoz
letter,"(noun, verb, idiom)",brev,خطاب,warqad,حرف,літер,list,carta,pismo,letër
lock,"(noun, verb, idiom)",låsa,قفل,quful,قفل کردن,замок,zamek,cerrar,zaključati,bllokoj
maximum,"(noun, adjective)",maximal,أقصى,heer ugu badan,بیشترین,максимум,maksymalny,máximo,maksimum,maksimum
novel,"(noun, adjective)",roman,رواية,sheeko,رمان,Роман,powieść,novedoso,roman,novelë
option,"(noun, verb)",alternativ,خيار,ikhtiyaar,گزینه,опція,opcja,opción,opcija,mundësi
pack,"(noun, verb, adjective)",packa,علية,isku xiririd,بسته بندی کردن,упаковка,Pakiet,embalar,pakirati,pako
park,"(noun, verb)",parkera,حديقة,gaari dhigid,پارک کردن,парк,park,parque,park,parkoj
plenty,"(noun, adjective, adverb)",massor,كثير,badan,فراوانی,багато,mnóstwo,infinidad,dosta,mjaft
quarter,"(noun, verb, adjective)",fjärdedel,ربع,rubuc,ربع,чверть,kwartał,cuarto,četvrtina,çerek
skin,"(noun, verb)",hud,جلد,maqaar,پوست,шкіра,skóra,piel,koža,lëkurë
sort,"(noun, verb)",sortera,نوع,nooc,مرتب سازی,сортувати,sortować,clasificar,sortirati,lloj
weight,"(noun, verb)",vikt,وزن,culeys,وزن,вага,waga,peso,težina,peshë
baby,"(noun, verb, adjective)",bebis,طفل,cunug,عزیزم,дитячий,Dziecko,bebé,beba,fëmijë
background,"(noun, adjective)",bakgrund,خلفية,aasaas,زمینه,фон,tło,fondo,pozadina,sfond
carry,"(noun, verb)",bära,يحمل,qaadid,حمل,перенести,nosić,llevar,nositi,mbaj
dish,"(noun, verb, idiom)",maträtt,طبق,xeero,ظرف,блюдо,danie,plato,jelo,gllënjkë
factor,"(noun, verb)",faktor,عامل,cunsaalka,عامل,фактор,czynnik,factor,faktor,faktor
fruit,"(noun, verb)",frukt,فاكهة,khudaar,میوه,фрукти,owoc,fruta,voće,fruta
glass,"(noun, adjective, verb)",glas,زجاج,quraarad,شیشه,скляний,szkło,vaso,staklo,xham
joint,"(noun, adjective, verb)",gemensam,مشترك,kala goys,مفصل,суглоб,wspólny,articulación,zglob,bashkoj
master,"(noun, adjective, verb)",bemästra,يتقن,sayid,استاد,майстер,gospodarz,maestro,master,zotëroj
muscle,"(noun, verb, adjective)",muskel,عضلة,muruq,ماهیچه,м'яз,mięsień,músculo,mišići,muskul
red,"(noun, adjective, idiom)",röd,أحمر,guduudan,قرمز,червоний,czerwony,rojo,crvena,i kuq
strength,"(noun, idiom)",styrka,قوة,xoog,استحکام - قدرت,міцність,wytrzymałość,fortaleza,snaga,forcë
traffic,"(noun, verb)",trafik,مرور,socod gaari,ترافیک,рух,ruch drogowy,tráfico,saobraćaj,trafik
trip,"(noun, verb, idiom)",resa,رحلة,safar,سفر,поїздка,wycieczka,viaje,izlet,përshkrim
vegetable,"(noun, adjective)",grönsak,الخضروات,khudaar,سبزی,овочевий,warzywo,verdura,povrće,perime
appeal,"(noun, verb)",överklagande,جاذبية,rafcaan,درخواست,звернення,odwołanie,apelar,žalba,apeloj
chart,"(noun, verb)",Diagram,جدول,khariidad,چارت سازمانی,графік,wykres,cuadro,grafikon,tabelë
gear,"(noun, verb, adjective)",redskap,هيأ,geyr,دنده,спорядження,bieg ,engranaje,prenošenje,marsh
ideal,"(noun, adjective)",idealisk,مثالي,horyaal,ایده آل,ідеал,ideał,ideal,idealan,ideal
kitchen,"(noun, adjective)",kök,مطبخ,jiko,آشپزخانه,кухня,kuchnia,cocina,kuhinja,kuzhinë
land,"(noun, verb, idiom)",landa,أرض,dhul,زمین,земля,grunt,tierra,zemljište,tokë
log,"(noun, verb)",logga,سجل,diiwaan,ورود به سیستم,журнал,dziennik,registro,zapisnik,vrojtim
mother,"(noun, adjective, verb)",mor,الأم,hooyo,مادر,мама,matka,madre,majka,nënë
net,"(noun, verb)",netto,شبكة,shabaq,خالص,сітка,internet,neto,neto,neto
party,"(noun, adjective, verb)",fest,حزب,xaflad,مهمانی - جشن,вечірка,impreza,fiesta,zabava,parti
principle,"(noun, idiom)",princip,مبدأ,mabda,اصل,принцип,zasada,principio,princip,parim
relative,"(noun, adjective)",relativ,نسبي,qaraabo,نسبت فامیلی,відносний,względny,relativo,rođak,i afërm
sale,"(noun, idiom)",försäljning,أُوكَازيُون,xaraash,فروش,розпродаж,sprzedaż,venta,prodaja,shitje
season,"(noun, verb, idiom)",säsong,موسم,xilli,فصلی,сезон,pora roku,estación,sezona,sezon
signal,"(noun, adjective, verb)",signal,الإشارة,seenyaale,علامت,сигнал,sygnał,señal,signal,sinjal
spirit,"(noun, verb, idiom)",anda,روح,niyad,روح,дух,duch,espíritu,duh,frymë
street,"(noun, adjective, idiom)",gata,شارع,jid,خیابان,вулиця,ulica,calle,ulica,rrugë
tree,"(noun, verb, idiom)",träd,شجرة,geed,درخت,дерево,drzewo,árbol,stablo,pemë
wave,"(noun, verb, idiom)",Vinka,موجة,gacan-haadis,موج,махати,fala,ola,val,tundem
belt,"(noun, verb)",bälte,حزام,suun,تسمه,пояса,pasek,cinturón,remen,rrip
bench,"(noun, verb)",bänk,مقعد,kursi dheer,نیمکت,лавка,ławka,banco,klupa,stol
commission,"(noun, verb)",provision,عمولة,dallacaad,راهق,комісія,zamawiać,comisión,komisija,komision
copy,"(noun, verb, idiom)",kopiera,ينسخ,koobbi ka sameyn,کپی 🀄,копіювати,Kopiuj,Copiar,kopija,kopjoj
drop,"(noun, verb)",släppa,يسقط,dhicid,افت,опускатися,upuszczać,gota,pad,bie
